"ID";"Watergebruikers";"Perioden";"TotaalGrondwater_4";"GebruikVoorKoeling_5";"OverigGebruikGrondwater_6"
"18";"1050010";"2003JJ00";;;
"19";"1050010";"2004JJ00";;;
"20";"1050010";"2005JJ00";;;
"21";"1050010";"2006JJ00";;;
"22";"1050010";"2007JJ00";;;
"23";"1050010";"2008JJ00";;;
"24";"1050010";"2009JJ00";;;
"25";"1050010";"2010JJ00";;;
"26";"1050010";"2011JJ00";;;
"27";"1050010";"2012JJ00";;;
"28";"1050010";"2013JJ00";;;
"29";"1050010";"2014JJ00";;;
"30";"1050010";"2015JJ00";;;
"31";"1050010";"2016JJ00";;;
"32";"1050010";"2017JJ00";;;
"33";"1050010";"2018JJ00";;;
"34";"1050010";"2019JJ00";;;
"35";"1050010";"2020JJ00";;;
"54";"301000 ";"2003JJ00";"141.7";"0";"141.7"
"55";"301000 ";"2004JJ00";"55.3";"0";"55.3"
"56";"301000 ";"2005JJ00";"54.8";"0";"54.8"
"57";"301000 ";"2006JJ00";"92";"0";"92"
"58";"301000 ";"2007JJ00";"49.3";"0";"49.3"
"59";"301000 ";"2008JJ00";"51.6";"0";"51.6"
"60";"301000 ";"2009JJ00";"73.4";"0";"73.4"
"61";"301000 ";"2010JJ00";"93.2";"0";"93.2"
"62";"301000 ";"2011JJ00";"88.6";"0";"88.6"
"63";"301000 ";"2012JJ00";"46.7";"0";"46.7"
"64";"301000 ";"2013JJ00";"83";"0";"83"
"65";"301000 ";"2014JJ00";"60.8";"0";"60.8"
"66";"301000 ";"2015JJ00";"77";"0";"77"
"67";"301000 ";"2016JJ00";"56.4";"0";"56.4"
"68";"301000 ";"2017JJ00";"97";"0";"97"
"69";"301000 ";"2018JJ00";"225.3";"0";"225.3"
"70";"301000 ";"2019JJ00";"198.8";"0";"198.8"
"71";"301000 ";"2020JJ00";"214.2";"0";"214.2"
"72";"305700 ";"2003JJ00";"0.1";"0";"0"
"73";"305700 ";"2004JJ00";"0.1";"0";"0"
"74";"305700 ";"2005JJ00";"0.1";"0";"0"
"75";"305700 ";"2006JJ00";"0.1";"0";"0"
"76";"305700 ";"2007JJ00";"0.1";"0";"0"
"77";"305700 ";"2008JJ00";"0.1";"0";"0"
"78";"305700 ";"2009JJ00";"0.1";"0";"0"
"79";"305700 ";"2010JJ00";"0.1";"0";"0"
"80";"305700 ";"2011JJ00";"0.1";"0";"0"
"81";"305700 ";"2012JJ00";"0.1";"0";"0"
"82";"305700 ";"2013JJ00";"0.1";"0";"0"
"83";"305700 ";"2014JJ00";"0.1";"0";"0"
"84";"305700 ";"2015JJ00";"0.1";"0";"0"
"85";"305700 ";"2016JJ00";"0.1";"0";"0"
"86";"305700 ";"2017JJ00";"0";"0";"0"
"87";"305700 ";"2018JJ00";"0.1";"0";"0"
"88";"305700 ";"2019JJ00";"0.1";"0";"0.1"
"89";"305700 ";"2020JJ00";"0.3";"0";"0.3"
"90";"307500 ";"2003JJ00";"215";"103.5";"111.5"
"91";"307500 ";"2004JJ00";"216.2";"115.3";"100.9"
"92";"307500 ";"2005JJ00";"181";"98.4";"82.6"
"93";"307500 ";"2006JJ00";"179.3";"99.4";"79.9"
"94";"307500 ";"2007JJ00";"173.3";"90.9";"82.4"
"95";"307500 ";"2008JJ00";"172.1";"92.7";"79.4"
"96";"307500 ";"2009JJ00";"176.3";"88.4";"87.9"
"97";"307500 ";"2010JJ00";"135.7";"64.7";"71"
"98";"307500 ";"2011JJ00";"138.4";"64.3";"74.1"
"99";"307500 ";"2012JJ00";"134.1";"64.5";"69.6"
"100";"307500 ";"2013JJ00";"140.2";"74.3";"65.9"
"101";"307500 ";"2014JJ00";"141";"71.2";"69.8"
"102";"307500 ";"2015JJ00";"143.3";"71.8";"71.5"
"103";"307500 ";"2016JJ00";"143.8";"74.2";"69.6"
"104";"307500 ";"2017JJ00";"130.2";"60.1";"70.1"
"105";"307500 ";"2018JJ00";"132.3";"62.7";"69.5"
"106";"307500 ";"2019JJ00";"127.6";"61.3";"66.4"
"107";"307500 ";"2020JJ00";"113.2";"50";"63.2"
"108";"307600 ";"2003JJ00";"68.6";"26.8";"41.8"
"109";"307600 ";"2004JJ00";"51.9";"23.6";"28.3"
"110";"307600 ";"2005JJ00";"47.1";"21.7";"25.4"
"111";"307600 ";"2006JJ00";"45.3";"20.3";"25"
"112";"307600 ";"2007JJ00";"44";"21.2";"22.7"
"113";"307600 ";"2008JJ00";"47.9";"21.7";"26.2"
"114";"307600 ";"2009JJ00";"48.3";"21.8";"26.5"
"115";"307600 ";"2010JJ00";"40.2";"17.4";"22.7"
"116";"307600 ";"2011JJ00";"42.5";"18.4";"24.1"
"117";"307600 ";"2012JJ00";"46.3";"22.4";"23.9"
"118";"307600 ";"2013JJ00";"39.5";"19.6";"19.9"
"119";"307600 ";"2014JJ00";"43.2";"22.1";"21.2"
"120";"307600 ";"2015JJ00";"42.8";"21.4";"21.4"
"121";"307600 ";"2016JJ00";"40.9";"20.9";"20"
"122";"307600 ";"2017JJ00";"30.3";"9.3";"21.1"
"123";"307600 ";"2018JJ00";"27.1";"7.6";"19.5"
"124";"307600 ";"2019JJ00";"34.7";"16";"18.7"
"125";"307600 ";"2020JJ00";"25.5";"6.4";"19"
"540";"346600 ";"2003JJ00";"0.6";"0";"0.6"
"541";"346600 ";"2004JJ00";"0.6";"0";"0.6"
"542";"346600 ";"2005JJ00";"0.8";"0";"0.8"
"543";"346600 ";"2006JJ00";"0.8";"0";"0.8"
"544";"346600 ";"2007JJ00";"1.6";"0";"1.6"
"545";"346600 ";"2008JJ00";"1.7";"0";"1.7"
"546";"346600 ";"2009JJ00";"4.6";"1.1";"3.5"
"547";"346600 ";"2010JJ00";"5.3";"0.2";"5.2"
"548";"346600 ";"2011JJ00";"5.3";"0";"5.3"
"549";"346600 ";"2012JJ00";"5";"0";"5"
"550";"346600 ";"2013JJ00";"4.8";"0";"4.8"
"551";"346600 ";"2014JJ00";"4";"0";"4"
"552";"346600 ";"2015JJ00";"4";"0";"4"
"553";"346600 ";"2016JJ00";"3.7";"0";"3.7"
"554";"346600 ";"2017JJ00";"3.9";"0";"3.9"
"555";"346600 ";"2018JJ00";"3.9";"0";"3.9"
"556";"346600 ";"2019JJ00";"3.9";"0";"3.9"
"557";"346600 ";"2020JJ00";"0.3";"0";"0.3"
"558";"348000 ";"2003JJ00";"803";"0";"803"
"559";"348000 ";"2004JJ00";"772.5";"0";"772.5"
"560";"348000 ";"2005JJ00";"767.6";"0";"767.6"
"561";"348000 ";"2006JJ00";"779.7";"0";"779.7"
"562";"348000 ";"2007JJ00";"768.9";"0";"768.9"
"563";"348000 ";"2008JJ00";"763.6";"0";"763.6"
"564";"348000 ";"2009JJ00";"761";"0";"761"
"565";"348000 ";"2010JJ00";"762.8";"0";"762.8"
"566";"348000 ";"2011JJ00";"756.7";"0.1";"756.6"
"567";"348000 ";"2012JJ00";"754.7";"0.2";"754.5"
"568";"348000 ";"2013JJ00";"764";"0.3";"763.7"
"569";"348000 ";"2014JJ00";"759";"0.2";"758.8"
"570";"348000 ";"2015JJ00";"768.3";"0.2";"768.1"
"571";"348000 ";"2016JJ00";"779.4";"0.1";"779.3"
"572";"348000 ";"2017JJ00";"783.6";"0.1";"783.5"
"573";"348000 ";"2018JJ00";"826.2";"0.7";"825.5"
"574";"348000 ";"2019JJ00";"813.3";"1.1";"812.2"
"575";"348000 ";"2020JJ00";"843";"1.4";"841.6"
"684";"383100 ";"2003JJ00";;;
"685";"383100 ";"2004JJ00";;;
"686";"383100 ";"2005JJ00";;;
"687";"383100 ";"2006JJ00";;;
"688";"383100 ";"2007JJ00";;;
"689";"383100 ";"2008JJ00";;;
"690";"383100 ";"2009JJ00";;;
"691";"383100 ";"2010JJ00";;;
"692";"383100 ";"2011JJ00";;;
"693";"383100 ";"2012JJ00";;;
"694";"383100 ";"2013JJ00";;;
"695";"383100 ";"2014JJ00";;;
"696";"383100 ";"2015JJ00";;;
"697";"383100 ";"2016JJ00";;;
"698";"383100 ";"2017JJ00";;;
"699";"383100 ";"2018JJ00";;;
"700";"383100 ";"2019JJ00";;;
"701";"383100 ";"2020JJ00";;;
"702";"389100 ";"2003JJ00";;;
"703";"389100 ";"2004JJ00";;;
"704";"389100 ";"2005JJ00";;;
"705";"389100 ";"2006JJ00";;;
"706";"389100 ";"2007JJ00";;;
"707";"389100 ";"2008JJ00";;;
"708";"389100 ";"2009JJ00";;;
"709";"389100 ";"2010JJ00";;;
"710";"389100 ";"2011JJ00";;;
"711";"389100 ";"2012JJ00";;;
"712";"389100 ";"2013JJ00";;;
"713";"389100 ";"2014JJ00";;;
"714";"389100 ";"2015JJ00";;;
"715";"389100 ";"2016JJ00";;;
"716";"389100 ";"2017JJ00";;;
"717";"389100 ";"2018JJ00";;;
"718";"389100 ";"2019JJ00";;;
"719";"389100 ";"2020JJ00";;;
