"ID";"Watergebruikers";"Perioden";"TotaalLeidingwater_1";"Drinkwater_2";"Industriewater_3"
"18";"1050010";"2003JJ00";"815.4";"815.4";"0"
"19";"1050010";"2004JJ00";"796.2";"796.2";"0"
"20";"1050010";"2005JJ00";"790.5";"790.5";"0"
"21";"1050010";"2006JJ00";"800.7";"800.7";"0"
"22";"1050010";"2007JJ00";"789.4";"789.4";"0"
"23";"1050010";"2008JJ00";"788.4";"788.4";"0"
"24";"1050010";"2009JJ00";"788.1";"788.1";"0"
"25";"1050010";"2010JJ00";"786.2";"786.2";"0"
"26";"1050010";"2011JJ00";"781.8";"781.8";"0"
"27";"1050010";"2012JJ00";"783";"783";"0"
"28";"1050010";"2013JJ00";"785.3";"785.3";"0"
"29";"1050010";"2014JJ00";"783.3";"783.3";"0"
"30";"1050010";"2015JJ00";"793.7";"793.7";"0"
"31";"1050010";"2016JJ00";"805.3";"805.3";"0"
"32";"1050010";"2017JJ00";"808.3";"808.3";"0"
"33";"1050010";"2018JJ00";"837.2";"837.2";"0"
"34";"1050010";"2019JJ00";"818.4";"818.4";"0"
"35";"1050010";"2020JJ00";"855.3";"855.3";"0"
"54";"301000 ";"2003JJ00";"57.6";"57.6";"0"
"55";"301000 ";"2004JJ00";"49.9";"49.9";"0"
"56";"301000 ";"2005JJ00";"47.6";"47.6";"0"
"57";"301000 ";"2006JJ00";"46.5";"46.5";"0"
"58";"301000 ";"2007JJ00";"46";"46";"0"
"59";"301000 ";"2008JJ00";"44.3";"44.3";"0"
"60";"301000 ";"2009JJ00";"47.2";"47.2";"0"
"61";"301000 ";"2010JJ00";"43.8";"43.8";"0"
"62";"301000 ";"2011JJ00";"42.7";"42.7";"0"
"63";"301000 ";"2012JJ00";"39.3";"39.3";"0"
"64";"301000 ";"2013JJ00";"41";"41";"0"
"65";"301000 ";"2014JJ00";"41.9";"41.9";"0"
"66";"301000 ";"2015JJ00";"42.7";"42.7";"0"
"67";"301000 ";"2016JJ00";"43.6";"43.6";"0"
"68";"301000 ";"2017JJ00";"48.4";"48.4";"0"
"69";"301000 ";"2018JJ00";"48.9";"48.9";"0"
"70";"301000 ";"2019JJ00";"43.8";"43.8";"0"
"71";"301000 ";"2020JJ00";"41.9";"41.9";"0"
"72";"305700 ";"2003JJ00";"4.7";"4.7";"0"
"73";"305700 ";"2004JJ00";"4";"4";"0"
"74";"305700 ";"2005JJ00";"3.8";"3.8";"0"
"75";"305700 ";"2006JJ00";"3.7";"3.7";"0"
"76";"305700 ";"2007JJ00";"3.6";"3.6";"0"
"77";"305700 ";"2008JJ00";"3.8";"3.8";"0"
"78";"305700 ";"2009JJ00";"3.6";"3.6";"0"
"79";"305700 ";"2010JJ00";"3.6";"3.6";"0"
"80";"305700 ";"2011JJ00";"3.7";"3.7";"0"
"81";"305700 ";"2012JJ00";"3.2";"3.2";"0"
"82";"305700 ";"2013JJ00";"3";"3";"0"
"83";"305700 ";"2014JJ00";"2.7";"2.7";"0"
"84";"305700 ";"2015JJ00";"2.5";"2.5";"0"
"85";"305700 ";"2016JJ00";"2.5";"2.5";"0"
"86";"305700 ";"2017JJ00";"2.6";"2.6";"0"
"87";"305700 ";"2018JJ00";"2.9";"2.9";"0"
"88";"305700 ";"2019JJ00";"2.2";"2.2";"0"
"89";"305700 ";"2020JJ00";"2.3";"2.3";"0"
"90";"307500 ";"2003JJ00";"219.4";"149.7";"69.7"
"91";"307500 ";"2004JJ00";"216.8";"147.3";"69.5"
"92";"307500 ";"2005JJ00";"213.5";"142.8";"70.7"
"93";"307500 ";"2006JJ00";"213.8";"143.2";"70.6"
"94";"307500 ";"2007JJ00";"213.8";"142.9";"70.9"
"95";"307500 ";"2008JJ00";"213.5";"144.2";"69.3"
"96";"307500 ";"2009JJ00";"208";"140.2";"67.8"
"97";"307500 ";"2010JJ00";"209.4";"138";"71.4"
"98";"307500 ";"2011JJ00";"206.1";"133.6";"72.5"
"99";"307500 ";"2012JJ00";"200.8";"131.2";"69.6"
"100";"307500 ";"2013JJ00";"207.5";"135.4";"72.1"
"101";"307500 ";"2014JJ00";"201.8";"129.6";"72.2"
"102";"307500 ";"2015JJ00";"196.3";"128.3";"68"
"103";"307500 ";"2016JJ00";"200.5";"128.1";"72.4"
"104";"307500 ";"2017JJ00";"205.9";"136.2";"69.7"
"105";"307500 ";"2018JJ00";"202.4";"132";"70.4"
"106";"307500 ";"2019JJ00";"213";"144.6";"68.4"
"107";"307500 ";"2020JJ00";"208.9";"140.1";"68.9"
"108";"307600 ";"2003JJ00";"46.8";"46.8";"0"
"109";"307600 ";"2004JJ00";"43.8";"43.8";"0"
"110";"307600 ";"2005JJ00";"43.9";"43.9";"0"
"111";"307600 ";"2006JJ00";"45.5";"44";"1.5"
"112";"307600 ";"2007JJ00";"44.6";"43.1";"1.5"
"113";"307600 ";"2008JJ00";"48.8";"47.2";"1.6"
"114";"307600 ";"2009JJ00";"56.5";"54.9";"1.6"
"115";"307600 ";"2010JJ00";"52.2";"50.7";"1.5"
"116";"307600 ";"2011JJ00";"55.9";"54.3";"1.6"
"117";"307600 ";"2012JJ00";"55.7";"54";"1.7"
"118";"307600 ";"2013JJ00";"54";"52.3";"1.7"
"119";"307600 ";"2014JJ00";"51.8";"50.1";"1.7"
"120";"307600 ";"2015JJ00";"48.4";"46.6";"1.8"
"121";"307600 ";"2016JJ00";"47.9";"46.1";"1.8"
"122";"307600 ";"2017JJ00";"50.1";"48.4";"1.7"
"123";"307600 ";"2018JJ00";"51.1";"49.7";"1.4"
"124";"307600 ";"2019JJ00";"54.7";"52.6";"2.1"
"125";"307600 ";"2020JJ00";"56";"54.4";"1.7"
"540";"346600 ";"2003JJ00";"5.1";"5.1";"0"
"541";"346600 ";"2004JJ00";"2.3";"2.3";"0"
"542";"346600 ";"2005JJ00";"2.3";"2.3";"0"
"543";"346600 ";"2006JJ00";"2.5";"2.5";"0"
"544";"346600 ";"2007JJ00";"3.1";"3.1";"0"
"545";"346600 ";"2008JJ00";"4.1";"4";"0.1"
"546";"346600 ";"2009JJ00";"11.9";"5.6";"6.3"
"547";"346600 ";"2010JJ00";"17.2";"8.3";"8.9"
"548";"346600 ";"2011JJ00";"17.9";"9.2";"8.7"
"549";"346600 ";"2012JJ00";"11.4";"3.1";"8.3"
"550";"346600 ";"2013JJ00";"14.6";"3.7";"10.9"
"551";"346600 ";"2014JJ00";"13.3";"3";"10.3"
"552";"346600 ";"2015JJ00";"14.3";"3.5";"10.8"
"553";"346600 ";"2016JJ00";"14.7";"3.7";"11"
"554";"346600 ";"2017JJ00";"13.1";"3.5";"9.6"
"555";"346600 ";"2018JJ00";"13.3";"3.5";"9.8"
"556";"346600 ";"2019JJ00";"12.1";"4.3";"7.8"
"557";"346600 ";"2020JJ00";"10.5";"2.6";"7.9"
"558";"348000 ";"2003JJ00";"5.4";"5.3";"0.1"
"559";"348000 ";"2004JJ00";"5.4";"5.3";"0.1"
"560";"348000 ";"2005JJ00";"4.7";"4.6";"0.1"
"561";"348000 ";"2006JJ00";"5.6";"5.5";"0.1"
"562";"348000 ";"2007JJ00";"5";"4.9";"0.1"
"563";"348000 ";"2008JJ00";"6.7";"6.6";"0.1"
"564";"348000 ";"2009JJ00";"5.6";"5.5";"0.1"
"565";"348000 ";"2010JJ00";"6.2";"6.1";"0.1"
"566";"348000 ";"2011JJ00";"4.9";"4.8";"0.1"
"567";"348000 ";"2012JJ00";"5.8";"5.7";"0.1"
"568";"348000 ";"2013JJ00";"4.7";"3.5";"1.2"
"569";"348000 ";"2014JJ00";"4.5";"3.5";"1"
"570";"348000 ";"2015JJ00";"3.7";"3.3";"0.4"
"571";"348000 ";"2016JJ00";"4.2";"3.7";"0.5"
"572";"348000 ";"2017JJ00";"4.3";"3.9";"0.4"
"573";"348000 ";"2018JJ00";"5.5";"5.1";"0.4"
"574";"348000 ";"2019JJ00";"6.5";"6.2";"0.3"
"575";"348000 ";"2020JJ00";"7";"6.7";"0.3"
"684";"383100 ";"2003JJ00";"3.5";"3.5";"0"
"685";"383100 ";"2004JJ00";"3.6";"3.6";"0"
"686";"383100 ";"2005JJ00";"3.5";"3.5";"0"
"687";"383100 ";"2006JJ00";"3.5";"3.5";"0"
"688";"383100 ";"2007JJ00";"3.6";"3.6";"0"
"689";"383100 ";"2008JJ00";"3.7";"3.7";"0"
"690";"383100 ";"2009JJ00";"3.6";"3.6";"0"
"691";"383100 ";"2010JJ00";"3.6";"3.6";"0"
"692";"383100 ";"2011JJ00";"3.6";"3.6";"0"
"693";"383100 ";"2012JJ00";"3.6";"3.6";"0"
"694";"383100 ";"2013JJ00";"3.6";"3.6";"0"
"695";"383100 ";"2014JJ00";"3.7";"3.7";"0"
"696";"383100 ";"2015JJ00";"4.1";"4.1";"0"
"697";"383100 ";"2016JJ00";"4.5";"4.5";"0"
"698";"383100 ";"2017JJ00";"4.2";"4.2";"0"
"699";"383100 ";"2018JJ00";"4.7";"4.7";"0"
"700";"383100 ";"2019JJ00";"4";"4";"0"
"701";"383100 ";"2020JJ00";"4.1";"4.1";"0"
"702";"389100 ";"2003JJ00";"17.1";"17.1";"0"
"703";"389100 ";"2004JJ00";"17.1";"17.1";"0"
"704";"389100 ";"2005JJ00";"17.1";"17.1";"0"
"705";"389100 ";"2006JJ00";"17.5";"17.5";"0"
"706";"389100 ";"2007JJ00";"18.1";"18.1";"0"
"707";"389100 ";"2008JJ00";"18.6";"18.6";"0"
"708";"389100 ";"2009JJ00";"18.3";"18.3";"0"
"709";"389100 ";"2010JJ00";"18.5";"18.5";"0"
"710";"389100 ";"2011JJ00";"19";"19";"0"
"711";"389100 ";"2012JJ00";"19.2";"19.2";"0"
"712";"389100 ";"2013JJ00";"19.2";"19.2";"0"
"713";"389100 ";"2014JJ00";"19.6";"19.6";"0"
"714";"389100 ";"2015JJ00";"19.9";"19.9";"0"
"715";"389100 ";"2016JJ00";"20.1";"20.1";"0"
"716";"389100 ";"2017JJ00";"18.2";"18.2";"0"
"717";"389100 ";"2018JJ00";"20.3";"20.3";"0"
"718";"389100 ";"2019JJ00";"22.5";"22.5";"0"
"719";"389100 ";"2020JJ00";"21.5";"21.5";"0"
